10/29/2025                                                                                  Dynamic List Display                                                                                         1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10/29/2025                                                                           Failed Back-flush report with values                                                                              1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Failed Back-flush report with values
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Plnt|Material      |      Quantity|EUn|     Amount|Created   |Time    |SPT|Created by|SLoc|Order  |MvT|Crcy|Error Message    |Assembly      |Assembly Material Number                |Backflush|MStatus|
| 1815|7137275290    |        1,386 |EA |     44.39 |10/23/2025|16:15:27|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|01:45:23|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|00:15:30|   |APP_BATCH |0053|7542538|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|01:45:24|   |APP_BATCH |0053|7542539|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|13:15:31|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|07:15:28|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|11:15:31|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|04:45:26|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|03:45:12|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|21:15:28|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|06:15:35|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|06:45:24|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|19:45:43|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|07:45:32|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|07:15:29|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|13:45:24|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|18:45:40|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|05:45:36|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|11:45:21|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|10:45:35|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|02:45:27|   |APP_BATCH |0053|7542537|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|23:45:35|   |APP_BATCH |0053|7542537|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|13:45:25|   |APP_BATCH |0053|7542537|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|10:15:17|   |APP_BATCH |0053|7542537|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|07:15:30|   |APP_BATCH |0053|7542537|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|22:15:26|   |APP_BATCH |0053|7542537|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|17:15:24|   |APP_BATCH |0053|7542537|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|13:45:25|   |APP_BATCH |0053|7542538|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|21:46:03|   |APP_BATCH |0053|7542538|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|04:45:26|   |APP_BATCH |0053|7542538|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|09:15:17|   |APP_BATCH |0053|7542538|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|23:45:36|   |APP_BATCH |0053|7542539|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|16:45:15|   |APP_BATCH |0053|7542539|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|10:15:17|   |APP_BATCH |0053|7542539|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|05:45:37|   |APP_BATCH |0053|7542539|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/24/2025|13:15:31|   |APP_BATCH |0053|7542539|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |        1,386 |EA |     44.39 |10/24/2025|09:15:17|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |        1,386 |EA |     44.39 |10/24/2025|03:15:20|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |        1,386 |EA |     44.39 |10/24/2025|18:15:24|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |        2,079 |EA |     66.59 |10/24/2025|15:45:22|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |        2,079 |EA |     66.59 |10/24/2025|23:45:34|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |        1,386 |EA |     44.39 |10/24/2025|20:15:05|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |        1,386 |EA |     44.39 |10/24/2025|16:15:40|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |        1,386 |EA |     44.39 |10/24/2025|03:45:12|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |        1,386 |EA |     44.39 |10/24/2025|17:45:37|   |APP_BATCH |0053|7542538|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|00:15:22|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|14:15:29|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|09:15:26|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|07:15:50|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|03:15:25|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|19:15:16|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|10:45:14|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|19:45:18|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|04:45:18|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|15:45:25|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|17:15:28|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|06:45:27|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|13:15:29|   |APP_BATCH |0053|7498754|261|    | Deficit quantity|7287357710    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|13:45:18|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|07:45:50|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
| 1815|7137275290    |          693 |EA |     22.20 |10/25/2025|17:45:16|   |APP_BATCH |0053|7498758|261|    | Deficit quantity|7287357910    |Connector 2p YESC Dark Gray             |         |40     |
