10/29/2025                                                                                                Dynamic List Display                                                                                                        1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10/29/2025 Goods Movements with Errors: Summarized Records
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Material      |Material Description                    |Plnt|SLoc|      Quantity|EUn| Counter|MvT|Created On|Status|Error date|Error Text                                                              |Time    |ID|No.|Batch     |
|   71721795      |Front Spacer Holder                     |1815|0053|       10,200 |EA |      66|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 82 EA : 71721795 1815 0053               |02:45:43|M7|021|          |
|   7172170850    |CPA                                     |1815|0053|        1,750 |EA |       7|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 7 EA : 7172170850 1815 0053              |09:15:38|M7|021|          |
|   71721707      |Front Spacer Holder                     |1815|0053|        3,250 |EA |      13|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 195 EA : 71721707 1815 0053              |10:46:08|M7|021|          |
|   71721704      |42P 2X6.3MM + 6X2.8MM + 34X1.2MM UNSEALE|1815|0053|        2,240 |EA |       6|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 298 EA : 71721704 1815 0053              |18:15:36|M7|021|          |
|   71721493      |Front Spacer Holder                     |1815|0053|       16,128 |EA |      47|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 170 EA : 71721493 1815 0053              |02:45:19|M7|021|          |
|   7172149250    |CPA                                     |1815|0053|        6,720 |EA |      20|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 110 EA : 7172149250 1815 0053            |09:15:09|M7|021|          |
|   71721486      |Front Spacer Holder                     |1815|0053|       14,400 |EA |       6|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 1,488 EA : 71721486 1815 0053            |06:15:43|M7|021|          |
|   71721478      |Front Spacer Holder                     |1815|0053|       11,250 |EA |      21|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 24 EA : 71721478 1815 0053               |09:15:13|M7|021|          |
|   71721476      |2P 9 5MM UNSEALED FEMALE ISL            |1815|0053|        4,608 |EA |       6|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 597 EA : 71721476 1815 0053              |19:15:36|M7|021|          |
|   71721357      |59P MALE ISL                            |1815|0054|        5,550 |EA |      26|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 12 EA : 71721357 1815 0054               |08:15:05|M7|021|          |
|   71721355      |59P MALE BLADE STABILIZER               |1815|0054|        3,150 |EA |      15|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 146 EA : 71721355 1815 0054              |08:45:07|M7|021|          |
|   7172107650    |CPA                                     |1815|0053|          810 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 529 EA : 7172107650 1815 0053            |06:45:05|M7|021|          |
|   7172107590    |14P 1.2MM UNSEALED ISL                  |1815|0053|       10,428 |EA |      30|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 70 EA : 7172107590 1815 0053             |05:15:23|M7|021|          |
|   71721025      |49P (30X1.5MM + 18X2.8MM + 1X6.3MM) YES |1815|0053|        2,496 |EA |      19|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 155 EA : 71721025 1815 0053              |03:45:27|M7|021|          |
|   71721024      |TPA                                     |1815|0053|        2,496 |EA |      10|261|10/17/2025|      |10/17/2025|Deficit of SL Unrestricted-use 173 EA : 71721024 1815 0053              |09:45:26|M7|021|          |
|   71720937      |Front Spacer Holder                     |1815|0053|          960 |EA |       2|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 383 EA : 71720937 1815 0053              |09:45:37|M7|021|          |
|   7172092630    |Mat Seal Cover Black                    |1815|0053|        2,160 |EA |       2|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 440 EA : 7172092630 1815 0053            |19:46:02|M7|021|          |
|   71720808      |Front Spacer Holder                     |1815|0053|       68,400 |EA |      95|261|10/08/2025|      |10/08/2025|Deficit of SL Unrestricted-use 470 EA : 71720808 1815 0053              |02:45:22|M7|021|          |
|   71720737      |TPA                                     |1815|0054|       25,920 |EA |      16|261|10/26/2025|      |10/26/2025|Deficit of SL Unrestricted-use 1,369 EA : 71720737 1815 0054            |06:15:17|M7|021|          |
|   7172071930    |Mat Seal Cover Black                    |1815|0053|        2,160 |EA |       1|261|10/17/2025|      |10/17/2025|Deficit of SL Unrestricted-use 840 EA : 7172071930 1815 0053            |11:45:48|M7|021|          |
|   71720672      |Front Spacer Holder                     |1815|0053|        2,884 |EA |      20|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 55 EA : 71720672 1815 0053               |02:45:41|M7|021|          |
|   71720348      |Front Spacer Holder                     |1815|0053|        1,386 |EA |       2|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 356 EA : 71720348 1815 0053              |07:45:26|M7|021|          |
|   71720335      |TPA                                     |1815|0053|        4,480 |EA |       2|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 1,932 EA : 71720335 1815 0053            |14:15:21|M7|021|          |
|   71720308      |YESC KAIZEN 6.3 SYSTEM CONNECTOR 6P M FR|1815|0053|        5,600 |EA |      13|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 400 EA : 71720308 1815 0053              |18:45:32|M7|021|          |
|   71720227      |1.5 12P UNSEALED CONNECTOR SPACER FEMALE|1815|0053|       52,076 |EA |      43|261|10/17/2025|      |10/17/2025|Deficit of SL Unrestricted-use 975 EA : 71720227 1815 0053              |04:15:16|M7|021|          |
|   71586992      |TPA                                     |1815|0053|        4,752 |EA |       1|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 1,098 EA : 71586992 1815 0053            |02:15:21|M7|021|          |
|   71586612      |KAIZEN 0.64 UNSEALED CONN 16P M FRONT HO|1815|0053|        1,000 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 772 EA : 71586612 1815 0053              |08:45:12|M7|021|          |
|   71586584      |KAIZEN 0.64 SYSTEM UNSEALED 14P F FRONT |1815|0054|       15,400 |EA |      20|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 664 EA : 71586584 1815 0054              |07:15:55|M7|021|          |
|   71586583      |YESC2 0.64 UNSEALED CONNECTOR 12P FRONT |1815|0054|       12,320 |EA |      16|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 706 EA : 71586583 1815 0054              |13:45:15|M7|021|          |
|   7158621250    |2.8 SYSTEM CONNECTOR 8P FEMALE FRONT HOL|1815|0053|        8,820 |EA |       7|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 424 EA : 7158621250 1815 0053            |22:15:14|M7|021|          |
|   71586200      |6.3 SYSTEM CONNECTOR 6P FEMALE FRONT HOL|1815|0053|       43,200 |EA |      39|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 452 EA : 71586200 1815 0053              |19:15:46|M7|021|          |
|   71586199      |KAIZEN 6.3 SYSTEM CONNECTOR 4P MALE FRON|1815|0053|        6,000 |EA |      10|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 600 EA : 71586199 1815 0053              |13:45:16|M7|021|          |
|   71586190      |TPA                                     |1815|0053|        9,720 |EA |       9|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 133 EA : 71586190 1815 0053              |06:15:26|M7|021|          |
|   71586173      |Y-TYPE 9.5MM SEALED CONNECTOR 2P M FRONT|1815|0053|        3,360 |EA |       7|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 128 EA : 71586173 1815 0053              |05:45:28|M7|021|          |
|   7158599050    |HYBRID SYSTEM CONNECTOR 10P M FRONT HOLD|1815|0053|        1,800 |EA |       2|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 250 EA : 7158599050 1815 0053            |13:16:19|M7|021|          |
|   71585987      |6.3SYSTEM CONNECTOR 2P F FRONT HOLDER, N|1815|0053|       41,118 |EA |      29|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 686 EA : 71585987 1815 0053              |02:45:21|M7|021|          |
|   7158598550    |2.8SYSTEM CONNECTOR 10P F FRONT HOLDER, |1815|0053|        3,080 |EA |       2|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 2,272 EA : 7158598550 1815 0053          |00:15:15|M7|021|          |
|   7158597550    |HYBRID SYSTEM CONNECTOR 8P M FRONT HOLDE|1815|0053|        1,515 |EA |       2|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 323 EA : 7158597550 1815 0053            |13:45:25|M7|021|          |
|   7158597450    |Front Spacer Holder                     |1815|0053|        6,864 |EA |       5|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 1,047 EA : 7158597450 1815 0053          |13:45:21|M7|021|          |
|   71585766      |1.0-3 040-3 6P 2.3-2 090-2 4P SPACER FEM|1815|0053|       20,400 |EA |       9|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 848 EA : 71585766 1815 0053              |15:15:17|M7|021|          |
|   71584637      |040-3 10P 090-2 8P CONNECTOR SPACER FEMA|1815|0053|          600 |EA |       1|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 100 EA : 71584637 1815 0053              |11:15:10|M7|021|          |
|   71584217      |Front Spacer Holder                     |1815|0053|        2,016 |EA |       3|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 504 EA : 71584217 1815 0053              |06:15:42|M7|021|          |
|   71584203      |2.8 SYSTEM SEALED CONNECTOR 6P FEMALE FR|1815|0053|        1,458 |EA |       3|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 453 EA : 71584203 1815 0053              |07:45:16|M7|021|          |
|   7158315660    |Mat Seal 2p                             |1815|0053|       21,917 |EA |      16|261|10/25/2025|      |10/25/2025|Enter Batch                                                             |04:15:14|M7|018|          |
|   71574121      |090-2 6P SEALED CONNECTOR SPACER FEMALE,|1815|0053|        7,280 |EA |       7|261|10/17/2025|      |10/17/2025|Deficit of SL Unrestricted-use 1,040 EA : 71574121 1815 0053            |19:45:15|M7|021|          |
|   71450198      |Washer 10.8mm                           |1815|0053|        2,880 |EA |       4|261|10/20/2025|      |10/23/2025|Deficit of BA Unrestricted-use 290 EA : 71450198 1815 0053 20251001     |17:59:37|M7|021|20251001  |
|   7137900330    |Connector Seal / Packing Black          |1815|0053|        2,410 |EA |      17|261|10/08/2025|      |10/10/2025|Deficit of BA Unrestricted-use 144 EA : 7137900330 1815 0053 20251001   |11:48:06|M7|021|20251001  |
|   7137332090    |Connector Seal / Packing Blue           |1815|0054|       20,480 |EA |      61|261|10/24/2025|      |10/28/2025|Deficit of BA Unrestricted-use 240 EA : 7137332090 1815 0054 20251001   |17:08:46|M7|021|20251001  |
|   7137327260    |Connector Seal / Packing Green          |1815|0053|        4,525 |EA |       6|261|10/27/2025|      |10/27/2025|Enter Batch                                                             |12:15:55|M7|018|          |
|   7137318160    |Connector Seal / Packing Green          |1815|0053|          673 |EA |       6|261|10/13/2025|      |10/14/2025|Deficit of BA Unrestricted-use 128 EA : 7137318160 1815 0053 20251001   |12:55:58|M7|021|20251001  |
|   7137318160    |Connector Seal / Packing Green          |1815|0053|        1,732 |EA |      13|261|10/22/2025|      |10/22/2025|Enter Batch                                                             |06:45:33|M7|018|          |
|   7137317160    |Seal Green                              |1815|0054|       16,629 |EA |      73|261|10/24/2025|      |10/24/2025|Enter Batch                                                             |23:45:52|M7|018|          |
|   7137316850    |Connector Seal / Packing Red            |1815|0053|        2,969 |EA |       3|261|10/28/2025|      |10/28/2025|Enter Batch                                                             |17:16:03|M7|018|          |
|   7137275490    |Connector Seal / Packing Blue           |1815|0053|       10,458 |EA |      15|261|10/15/2025|      |10/15/2025|Deficit of BA Unrestricted-use 486 EA : 7137275490 1815 0053 20251001   |11:20:58|M7|021|20251001  |
|   7137275490    |Connector Seal / Packing Blue           |1815|0053|        3,407 |EA |       6|261|10/24/2025|      |10/24/2025|Enter Batch                                                             |14:15:17|M7|018|          |
|   7137275290    |Connector Seal / Packing Blue           |1815|0053|      122,661 |EA |     149|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 125 EA : 7137275290 1815 0053            |04:45:22|M7|021|          |
|   7137271750    |Connector Seal / Packing Red            |1815|0053|        1,160 |EA |       1|261|10/24/2025|      |10/24/2025|Enter Batch                                                             |17:45:30|M7|018|          |
|   7137271150    |Connector Seal / Packing Red            |1815|0053|       15,600 |EA |      15|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 1,037 EA : 7137271150 1815 0053          |19:45:45|M7|021|          |
|   7137260360    |Connector Seal / Packing Green          |1815|0053|          544 |EA |       1|261|10/24/2025|      |10/24/2025|Enter Batch                                                             |13:45:21|M7|018|          |
|   7137244450    |Connector Seal / Packing Red            |1815|0053|        1,100 |EA |       1|261|10/18/2025|      |10/18/2025|Enter Batch                                                             |23:45:10|M7|018|          |
|   71371470      |Connector Seal / Packing Light Gray     |1815|0053|       23,500 |EA |      10|261|10/11/2025|      |10/11/2025|Deficit of BA Unrestricted-use 2,500 EA : 71371470 1815 0053 20251001   |12:00:23|M7|021|20251001  |
|   71371470      |Connector Seal / Packing Light Gray     |1815|0053|       17,500 |EA |       7|261|10/17/2025|      |10/17/2025|Enter Batch                                                             |11:45:17|M7|018|          |
|   7123782630    |DMS CONNECTOR HOUSING 2P FEMALE CENTER R|1815|0053|        1,200 |EA |       1|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 600 EA : 7123782630 1815 0053            |23:45:20|M7|021|          |
|   7123622440    |X TYPE 2P CONNECTOR HOUSING FEMALE, NYLO|1815|0053|        1,600 |EA |       1|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 685 EA : 7123622440 1815 0053            |19:45:21|M7|021|          |
|   7123182330    |W TYPE CONNECTOR HOUSING 2P B FEMALE, NY|1815|0053|        1,000 |EA |       1|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 1,000 EA : 7123182330 1815 0053          |11:15:17|M7|021|          |
|   7122621440    |X TYPE CONNECTOR HOUSING 1P MALE, PBT GY|1815|0053|        1,767 |EA |       1|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 1,122 EA : 7122621440 1815 0053          |07:45:21|M7|021|          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  *              |                                        |    |    |    2,073,667 |EA |    3151|   |          |      |          |                                                                        |        |  |   |          |
|                 |                                        |    |    |   17,644.897 |KG |        |   |          |      |          |                                                                        |        |  |   |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
