10/29/2025                                                                                                Dynamic List Display                                                                                                        1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10/29/2025 Goods Movements with Errors: Summarized Records
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Material      |Material Description                    |Plnt|SLoc|      Quantity|EUn| Counter|MvT|Created On|Status|Error date|Error Text                                                              |Time    |ID|No.|Batch     |
|   S7157772960   |TPA                                     |1815|0051|       25,000 |EA |       2|261|10/12/2025|      |10/12/2025|Deficit of SL Unrestricted-use 1,360 EA : S7157772960 1815 0051         |23:45:06|M7|021|          |
|   S7157642080   |Rear Spacer Holder                      |1815|0051|       18,000 |EA |       2|261|10/12/2025|      |10/12/2025|Deficit of SL Unrestricted-use 6,150 EA : S7157642080 1815 0051         |04:15:06|M7|021|          |
|   S7157604070   |Rear Spacer Holder                      |1815|0051|        9,000 |EA |       1|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 4,617 EA : S7157604070 1815 0051         |21:45:07|M7|021|          |
|   S7152565930   |Connector Bracket                       |1815|0051|        1,260 |EA |       1|261|10/18/2025|      |10/18/2025|Deficit of SL Unrestricted-use 830 EA : S7152565930 1815 0051           |21:45:05|M7|021|          |
|   S7152550130   |Connector Bracket                       |1815|0051|        3,240 |EA |       3|261|10/11/2025|      |10/11/2025|Deficit of SL Unrestricted-use 234 EA : S7152550130 1815 0051           |17:15:10|M7|021|          |
|   S7152522830   |Connector Clip                          |1815|0051|          480 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 230 EA : S7152522830 1815 0051           |02:45:10|M7|021|          |
|   S7147880330   |Connector Clip                          |1815|0051|       36,000 |EA |       8|261|10/18/2025|      |10/18/2025|Deficit of SL Unrestricted-use 2,044 EA : S7147880330 1815 0051         |18:15:08|M7|021|          |
|   S7147873540   |Connector Clip                          |1815|0051|          180 |EA |       3|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 60 EA : S7147873540 1815 0051            |06:45:11|M7|021|          |
|   S7147871830   |Connector Clip                          |1815|0051|        7,500 |EA |       1|261|10/20/2025|      |10/20/2025|Deficit of SL Unrestricted-use 6,010 EA : S7147871830 1815 0051         |06:45:09|M7|021|          |
|   S7134868630   |Box Cover Black                         |1815|0051|           70 |EA |       2|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 30 EA : S7134868630 1815 0051            |02:45:05|M7|021|          |
|   S7123913550   |Socket housing 3p Orange                |1815|0051|          240 |EA |       2|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 120 EA : S7123913550 1815 0051           |06:15:18|M7|021|          |
|   S7123746440   |Connector 6p SWP Light Gray             |1815|0051|           40 |EA |       1|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 40 EA : S7123746440 1815 0051            |04:15:09|M7|021|          |
|   S7123744440   |Connector 4p SWP Light Gray             |1815|0051|          200 |EA |       2|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 120 EA : S7123744440 1815 0051           |20:15:02|M7|021|          |
|   S7123604330   |Connector 4p 250 M Black                |1815|0051|        3,600 |EA |       1|261|10/16/2025|      |10/16/2025|Deficit of SL Unrestricted-use 3,600 EA : S7123604330 1815 0051         |02:45:05|M7|021|          |
|   S7123501430   |Connector 1p 250 Black                  |1815|0051|       26,000 |EA |       7|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 80 EA : S7123501430 1815 0051            |05:15:07|M7|021|          |
|   S7123422030   |Connector 2p 375 Y Black                |1815|0051|        2,400 |EA |       1|261|10/19/2025|      |10/19/2025|Deficit of SL Unrestricted-use 2,088 EA : S7123422030 1815 0051         |07:45:11|M7|021|          |
|   S7123421030   |Connector 1p 375 Y Black                |1815|0051|           54 |EA |       1|261|10/09/2025|      |10/09/2025|Deficit of SL Unrestricted-use 54 EA : S7123421030 1815 0051            |14:15:08|M7|021|          |
|   S7123412330   |Connector 2p 375 L Black                |1815|0051|        3,900 |EA |       1|261|10/12/2025|      |10/12/2025|Deficit of SL Unrestricted-use 1,500 EA : S7123412330 1815 0051         |06:45:06|M7|021|          |
|   S7123251130   |Connector 1p 250 Black                  |1815|0051|          200 |EA |       1|261|10/16/2025|      |10/16/2025|Deficit of SL Unrestricted-use 200 EA : S7123251130 1815 0051           |05:15:16|M7|021|          |
|   S7123142440   |Connector 2p SWP Light Gray             |1815|0051|       13,500 |EA |       3|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 106 EA : S7123142440 1815 0051           |01:15:16|M7|021|          |
|   S7122412330   |Connector 2p 375 L Black                |1815|0051|        9,100 |EA |       7|261|10/18/2025|      |10/18/2025|Deficit of SL Unrestricted-use 180 EA : S7122412330 1815 0051           |11:45:06|M7|021|          |
|   S7047722430   |Clamp                                   |1815|0051|       17,500 |EA |       2|261|10/11/2025|      |10/11/2025|Deficit of SL Unrestricted-use 5,250 EA : S7047722430 1815 0051         |13:15:06|M7|021|          |
|   S071850753E   |2P 8MM SP SEALED FEMALE HEADER BOTTOM TE|1815|0053|          384 |EA |      10|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 6 EA : S071850753E 1815 0053             |03:15:45|M7|021|          |
|   S071721552P   |40P 2X6 3MM + 10X2 8MM + 28X1 2MM SEALED|1815|0054|        5,184 |EA |      22|261|10/26/2025|      |10/26/2025|Deficit of SL Unrestricted-use 11 EA : S071721552P 1815 0054            |02:15:39|M7|021|          |
|   S071720335P   |TPA                                     |1815|0054|        1,600 |EA |       2|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 460 EA : S071720335P 1815 0054           |01:45:48|M7|021|          |
|   S071586585E   |Front Spacer Holder                     |1815|0054|       18,228 |EA |       9|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 1,279 EA : S071586585E 1815 0054         |00:15:26|M7|021|          |
|   S071585971E   |1.5SYSTEM CONNECTOR 2P M FRONT HOLDER, N|1815|0053|        1,500 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 1,097 EA : S071585971E 1815 0053         |09:45:29|M7|021|          |
|   S071584195E   |Front Spacer Holder                     |1815|0053|       26,244 |EA |      38|261|10/15/2025|      |10/15/2025|Deficit of SL Unrestricted-use 897 EA : S071584195E 1815 0053           |11:15:15|M7|021|          |
|   S0071850753   |2P 8MM SP SEALED FEMALE HEADER          |1815|0051|          108 |EA |       3|261|10/10/2025|      |10/10/2025|Deficit of SL Unrestricted-use 40 EA : S0071850753 1815 0051            |16:15:02|M7|021|          |
|   S0071832510   |Connector 8p 090 II Natural             |1815|0051|          200 |EA |       1|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 200 EA : S0071832510 1815 0051           |03:15:04|M7|021|          |
|   S0071832418   |Connector 3p HLC Natural                |1815|0051|          120 |EA |       1|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 120 EA : S0071832418 1815 0051           |16:45:04|M7|021|          |
|   S0071832415   |Connector 2p HLC Natural                |1815|0051|        3,750 |EA |       1|261|10/14/2025|      |10/14/2025|Deficit of SL Unrestricted-use 750 EA : S0071832415 1815 0051           |15:45:34|M7|021|          |
|   S0071832414   |Connector 2p 090 II Natural             |1815|0051|          280 |EA |       3|261|10/16/2025|      |10/16/2025|Deficit of SL Unrestricted-use 200 EA : S0071832414 1815 0051           |19:15:06|M7|021|          |
|   S0071831616   |Connector 2p 187 Natural                |1815|0051|        4,000 |EA |       1|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 1,240 EA : S0071831616 1815 0051         |23:45:05|M7|021|          |
|   S0071742054   |TPA                                     |1815|0051|          370 |EA |       3|261|10/18/2025|      |10/18/2025|Deficit of SL Unrestricted-use 166 EA : S0071742054 1815 0051           |05:45:04|M7|021|          |
|   S0071741436   |Delete Cap                              |1815|0051|        8,880 |EA |      16|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 708 EA : S0071741436 1815 0051           |03:15:05|M7|021|          |
|   S0071741049   |Box Housing 40p Natural                 |1815|0051|        1,120 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 96 EA : S0071741049 1815 0051            |00:15:04|M7|021|          |
|   S0071741048   |Routing Cover Natural                   |1815|0051|          160 |EA |       1|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 80 EA : S0071741048 1815 0051            |07:45:07|M7|021|          |
|   S0071586585   |Front Spacer Holder                     |1815|0051|        1,728 |EA |       7|261|10/05/2025|      |10/05/2025|Deficit of SL Unrestricted-use 800 EA : S0071586585 1815 0051           |16:15:03|M7|021|          |
|   S0071585971   |1.5SYSTEM CONNECTOR 2P M FRONT HOLDER, N|1815|0051|          832 |EA |       3|261|10/03/2025|      |10/03/2025|Deficit of SL Unrestricted-use 32 EA : S0071585971 1815 0051            |13:15:29|M7|021|          |
|   S0071584195   |Front Spacer Holder                     |1815|0051|          431 |EA |       3|261|10/09/2025|      |10/09/2025|Deficit of SL Unrestricted-use 211 EA : S0071584195 1815 0051           |06:15:02|M7|021|          |
|   S0071578886   |Rear Spacer Holder                      |1815|0051|          240 |EA |       1|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 240 EA : S0071578886 1815 0051           |19:15:11|M7|021|          |
|   S0071576822   |TPA                                     |1815|0051|       10,000 |EA |       2|261|10/18/2025|      |10/18/2025|Deficit of SL Unrestricted-use 270 EA : S0071576822 1815 0051           |01:15:02|M7|021|          |
|   S0071576620   |Rear Spacer Holder                      |1815|0051|          120 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 120 EA : S0071576620 1815 0051           |03:45:24|M7|021|          |
|   S0071479095   |Connector Clip                          |1815|0051|        2,660 |EA |       2|261|10/18/2025|      |10/09/2025|Deficit of SL Unrestricted-use 160 EA : S0071479095 1815 0051           |16:45:02|M7|021|          |
